bin,p_mean,y_mean,count,fold,model,world
9,0.6458202020711454,0.5,2,7,Logistic_L2,WA_clean
10,0.7092368205109627,0.7142857142857143,7,7,Logistic_L2,WA_clean
11,0.7692928650600429,1.0,4,7,Logistic_L2,WA_clean
12,0.8423872172696064,0.5,4,7,Logistic_L2,WA_clean
13,0.9106981368702736,1.0,4,7,Logistic_L2,WA_clean
14,0.9753606635379167,0.75,8,7,Logistic_L2,WA_clean
0,0.010707251380825393,0.13677354709418837,1996,7,Logistic_L2,WI_prevalence_shift
1,0.09742281922150058,0.6298342541436464,181,7,Logistic_L2,WI_prevalence_shift
2,0.16776648836697466,0.8739495798319328,119,7,Logistic_L2,WI_prevalence_shift
3,0.23703559247868067,0.9074074074074074,54,7,Logistic_L2,WI_prevalence_shift
4,0.3013070774123539,0.9538461538461539,65,7,Logistic_L2,WI_prevalence_shift
5,0.39322712658793757,0.8518518518518519,27,7,Logistic_L2,WI_prevalence_shift
6,0.418039953553864,0.6875,16,7,Logistic_L2,WI_prevalence_shift
7,0.5225046420565757,0.9736842105263158,38,7,Logistic_L2,WI_prevalence_shift
8,0.5923430091291947,0.7692307692307693,13,7,Logistic_L2,WI_prevalence_shift
9,0.6354244246966124,0.9285714285714286,14,7,Logistic_L2,WI_prevalence_shift
10,0.7134033657644406,0.9866666666666667,75,7,Logistic_L2,WI_prevalence_shift
11,0.7679967763488611,1.0,56,7,Logistic_L2,WI_prevalence_shift
12,0.8365342408243472,1.0,31,7,Logistic_L2,WI_prevalence_shift
13,0.9108089396627098,1.0,52,7,Logistic_L2,WI_prevalence_shift
14,0.977881529801837,0.9746835443037974,79,7,Logistic_L2,WI_prevalence_shift
0,0.008398381877022654,0.005436893203883495,2575,7,RandomForest,WA_clean
1,0.09644736842105264,0.10526315789473684,133,7,RandomForest,WA_clean
2,0.1633843537414966,0.2653061224489796,49,7,RandomForest,WA_clean
3,0.22586956521739132,0.43478260869565216,23,7,RandomForest,WA_clean
4,0.29215277777777776,0.5,12,7,RandomForest,WA_clean
5,0.3601515151515151,0.2727272727272727,11,7,RandomForest,WA_clean
6,0.4310714285714286,0.7142857142857143,7,7,RandomForest,WA_clean
7,0.5122222222222222,1.0,3,7,RandomForest,WA_clean
10,0.7275,1.0,1,7,RandomForest,WA_clean
11,0.7691666666666667,1.0,2,7,RandomForest,WA_clean
0,0.010869199433227061,0.09883103081827843,1882,7,RandomForest,WI_prevalence_shift
1,0.0973015873015873,0.6813186813186813,273,7,RandomForest,WI_prevalence_shift
2,0.16619391025641023,0.8846153846153846,208,7,RandomForest,WI_prevalence_shift
3,0.22695887445887447,0.9285714285714286,154,7,RandomForest,WI_prevalence_shift
4,0.2881386292834891,0.9439252336448598,107,7,RandomForest,WI_prevalence_shift
5,0.36242690058479526,0.9122807017543859,57,7,RandomForest,WI_prevalence_shift
6,0.43494708994708997,0.9841269841269841,63,7,RandomForest,WI_prevalence_shift
7,0.5131837606837606,1.0,39,7,RandomForest,WI_prevalence_shift
10,0.7274999999999998,1.0,15,7,RandomForest,WI_prevalence_shift
11,0.771574074074074,1.0,18,7,RandomForest,WI_prevalence_shift
0,0.008619973631932419,0.008839354342813221,2602,8,Logistic_L2,WA_clean
1,0.09290818810318202,0.07547169811320754,106,8,Logistic_L2,WA_clean
2,0.15895437016211472,0.17073170731707318,41,8,Logistic_L2,WA_clean
3,0.2214367085504007,0.29411764705882354,17,8,Logistic_L2,WA_clean
4,0.304322342492206,0.16666666666666666,12,8,Logistic_L2,WA_clean
5,0.36525980561813076,0.6,5,8,Logistic_L2,WA_clean
6,0.419964661247076,0.3333333333333333,3,8,Logistic_L2,WA_clean
7,0.4922894238989765,1.0,4,8,Logistic_L2,WA_clean
8,0.5639053278524111,1.0,5,8,Logistic_L2,WA_clean
9,0.64899223169198,0.5,4,8,Logistic_L2,WA_clean
10,0.6899252792717544,0.0,2,8,Logistic_L2,WA_clean
11,0.7681810704740045,0.0,1,8,Logistic_L2,WA_clean
12,0.8452119650281592,0.8,5,8,Logistic_L2,WA_clean
13,0.8949510221078416,0.6666666666666666,3,8,Logistic_L2,WA_clean
14,0.9782228943068322,0.8333333333333334,6,8,Logistic_L2,WA_clean
0,0.011438589827007848,0.15320197044334977,2030,8,Logistic_L2,WI_prevalence_shift
1,0.09765630853719467,0.6176470588235294,170,8,Logistic_L2,WI_prevalence_shift
2,0.1557611841856843,0.7766990291262136,103,8,Logistic_L2,WI_prevalence_shift
3,0.21370724828351664,0.85,80,8,Logistic_L2,WI_prevalence_shift
