metric,world,mean_delta,ci_lower,ci_upper,n_models
Brier_REL_ci_lo,WJ_concept_drift,0.008205769690584043,-0.09259303151098847,0.18194519747210805,7
Brier_REL_ci_hi,WA_clean,-0.026477155365358423,-0.12797303513703548,0.1435924383909885,7
Brier_REL_ci_hi,WB_noise_outliers,-0.026181924481737447,-0.1307418021107847,0.14704648694031924,7
Brier_REL_ci_hi,WC_missingness,-0.024570901374177428,-0.12812397803049044,0.1444719074952971,7
Brier_REL_ci_hi,WD_shift,-0.020679901722810378,-0.12113729326105027,0.14826557244917266,7
Brier_REL_ci_hi,WE_surrogate_corrupt,-0.02613791515959748,-0.1335752827662074,0.15149644636714732,7
Brier_REL_ci_hi,WF_nonlinear,0.055345902664546656,-0.0919080776958719,0.23873899986591232,7
Brier_REL_ci_hi,WG_label_noise,-0.043679902621578046,-0.12403238462702841,0.08448779696551265,7
Brier_REL_ci_hi,WH_subgroup_shift,-0.02107194903080642,-0.1257657782179412,0.1504267525712864,7
Brier_REL_ci_hi,WI_prevalence_shift,-0.0038770066519573415,-0.04639467211973152,0.03290124782747644,7
Brier_REL_ci_hi,WJ_concept_drift,-0.025607743013686075,-0.12916131195847494,0.14430485597601425,7
Brier_RES_mean,WA_clean,-0.0735247070570143,-0.09016495278401104,-0.05395916250508922,7
Brier_RES_mean,WB_noise_outliers,-0.0694913149476399,-0.08551847221803384,-0.052660033223372295,7
Brier_RES_mean,WC_missingness,-0.06768663186105969,-0.0807831020882903,-0.0518488681640922,7
Brier_RES_mean,WD_shift,-0.07500947734429204,-0.08633827396163407,-0.05785665079775491,7
Brier_RES_mean,WE_surrogate_corrupt,-0.07593243278555398,-0.09334103472251883,-0.05667125241029421,7
Brier_RES_mean,WF_nonlinear,-0.07481809739644889,-0.08554760877121217,-0.06256184615038217,7
Brier_RES_mean,WG_label_noise,-0.06852528585810257,-0.08246827566586926,-0.0504067779345,7
Brier_RES_mean,WH_subgroup_shift,-0.07351813423116728,-0.0883381446100629,-0.05502110520484756,7
Brier_RES_mean,WI_prevalence_shift,0.02376123999364563,0.008539735582565166,0.03650695055901941,7
