run_id,model,AUROC,AUPRC,LogLoss,Brier,ECE
469,SVC_RBF,0.9092140921409214,0.14590989652566008,0.09862798091724417,0.022300610987771433,0.006996649768435586
470,Logistic_L2,0.5873983739837398,0.11704535507736819,0.10985874372758189,0.022983477539628185,0.013574323619009999
470,RandomForest,0.9993224932249323,0.976190476190476,0.04878966632806479,0.011045607672517131,0.03613137023406954
470,ExtraTrees,0.9993224932249323,0.976190476190476,0.03170349522616125,0.005609653520742515,0.023163124326845225
470,GradientBoosting,1.0,1.0,0.02260899859669228,0.0021794053494077533,0.021275895492635245
470,GaussianNB,0.6832655826558265,0.5146296142219264,0.0855887688830455,0.018496833285470037,0.02212731205403425
470,MLP,0.7242547425474255,0.34111980019691224,0.0999717127720691,0.021674518183553336,0.019493211002386157
470,SVC_RBF,0.736449864498645,0.057785589095246725,0.10889985125569156,0.023088550150829286,0.0072500250640716475
471,Logistic_L2,0.7289972899728997,0.07421180715646951,0.11495110544260263,0.024473422501657,0.011121961592579705
471,RandomForest,0.994579945799458,0.7027777777777777,0.051862328832654334,0.01252022845699988,0.03594949462532721
471,ExtraTrees,0.997289972899729,0.8734126984126983,0.03444032946650955,0.006424380388361788,0.026463460734368116
471,GradientBoosting,1.0,1.0,0.02260899859669228,0.0021794053494077537,0.021275895492635248
471,GaussianNB,0.5152439024390243,0.18683259303373945,0.10417600096941156,0.021761733135794624,0.010017951193711527
471,MLP,0.6287262872628726,0.1461496698459281,0.10920528321517281,0.02292026810892833,0.00804780549076983
471,SVC_RBF,0.9288617886178862,0.21414141414141413,0.09053522136698572,0.021698719859305167,0.009755339558214289
472,Logistic_L2,0.8523035230352303,0.09421702789642988,0.10866996348445424,0.024456210658592516,0.009575616991189247
472,RandomForest,0.9871273712737128,0.5472934472934473,0.06339138486804995,0.016806895114328375,0.032253960549096794
472,ExtraTrees,0.9966124661246613,0.8178571428571427,0.044751627590536865,0.010909221798537512,0.030139100445130223
472,GradientBoosting,0.9969512195121951,0.8178571428571427,0.03156810000625187,0.0060304958367285765,0.020664199929660825
472,GaussianNB,0.39871273712737126,0.021138310996532992,0.11432821433901252,0.02334027310433869,0.00591094200528788
472,MLP,0.5670731707317074,0.04992860777684624,0.11268009866958971,0.0232726614690286,0.007986050762825075
472,SVC_RBF,0.7994579945799458,0.06506474453580716,0.10642159542454471,0.023200771796402734,0.008925329728081209
473,Logistic_L2,0.6836043360433603,0.20120305253715173,0.10226272291502728,0.02184055815918967,0.013694078597810765
473,RandomForest,0.9952574525745257,0.8766233766233765,0.046043017566910295,0.009518115985469859,0.02519890182721171
473,ExtraTrees,1.0,1.0,0.031253684732666716,0.005062986539378647,0.023195826824918914
473,GradientBoosting,1.0,1.0,0.02260899859669228,0.0021794053494077533,0.021275895492635248
473,GaussianNB,0.7012195121951219,0.35630621885717983,0.0926164308774994,0.01907537427442868,0.017993185422989923
473,MLP,0.47086720867208665,0.07032341696798211,0.11406798378406828,0.0233827818911597,0.008402240814707918
473,SVC_RBF,0.7655826558265583,0.08838823493159127,0.10505824401290607,0.023032225920914452,0.011226345282093248
474,Logistic_L2,0.9654471544715447,0.4069217819217819,0.09001036252614164,0.021872165674707466,0.013133863609868379
474,RandomForest,0.9884823848238482,0.851010101010101,0.04652929791346606,0.009154503667128125,0.021166067444440766
474,ExtraTrees,1.0,1.0,0.029346791769617915,0.004461931307705479,0.024517495975210305
474,GradientBoosting,1.0,1.0,0.02260899859669226,0.0021794053494077524,0.021275895492635248
474,GaussianNB,0.6842818428184282,0.5146501386624301,0.08246378746021933,0.017377444056589097,0.020526630961558122
474,MLP,0.5426829268292683,0.05981681034690311,0.11167291943506352,0.02308659069276052,0.010284455715071068
474,SVC_RBF,0.8421409214092141,0.08763598016478846,0.1049890297861127,0.023058362733731012,0.00843841125837215
475,Logistic_L2,0.9356368563685638,0.19190433749257277,0.10276042721549153,0.02347352780563501,0.01469394089122764
475,RandomForest,0.9695121951219512,0.6414141414141414,0.06643156228996894,0.01489799087097743,0.02027491990479706
475,ExtraTrees,0.9871273712737128,0.8733333333333333,0.04433274994735399,0.008399579117758628,0.023486375580861217
475,GradientBoosting,0.8502710027100273,0.8373015873015873,0.05286753807310497,0.010227503365456227,0.026469674640718463
475,GaussianNB,0.5609756097560975,0.1285467818373509,0.10358699678197728,0.022153642076021635,0.019525423803435485
475,MLP,0.7384823848238483,0.21931737291376197,0.10435064838153861,0.022053593978810068,0.015590513702108797
