bin,p_mean,y_mean,count,fold,model,world
7,0.49892857142857144,0.5714285714285714,7,5,RandomForest,WA_clean
8,0.5684722222222223,0.16666666666666666,6,5,RandomForest,WA_clean
9,0.6386904761904761,0.8571428571428571,7,5,RandomForest,WA_clean
10,0.69,1.0,2,5,RandomForest,WA_clean
11,0.7341666666666666,1.0,1,5,RandomForest,WA_clean
3,0.24013888888888887,0.16666666666666666,12,5,RandomForest,WI_prevalence_shift
4,0.2886111111111111,0.0,6,5,RandomForest,WI_prevalence_shift
5,0.3647619047619048,0.2857142857142857,7,5,RandomForest,WI_prevalence_shift
6,0.42729166666666674,0.75,4,5,RandomForest,WI_prevalence_shift
7,0.5052083333333333,0.75,4,5,RandomForest,WI_prevalence_shift
8,0.5691666666666666,0.1111111111111111,9,5,RandomForest,WI_prevalence_shift
9,0.6394444444444444,0.8333333333333334,6,5,RandomForest,WI_prevalence_shift
10,0.69,1.0,2,5,RandomForest,WI_prevalence_shift
0,0.037985418840225584,1.0,1,6,Logistic_L2,WA_clean
1,0.09869142200066315,0.375,8,6,Logistic_L2,WA_clean
2,0.17243960243600523,0.0,1,6,Logistic_L2,WA_clean
3,0.23396693219058337,0.0,4,6,Logistic_L2,WA_clean
4,0.3019232126007455,0.75,4,6,Logistic_L2,WA_clean
5,0.3691936410699011,1.0,2,6,Logistic_L2,WA_clean
6,0.4438815326107076,0.5,2,6,Logistic_L2,WA_clean
7,0.4954741599690995,0.5,6,6,Logistic_L2,WA_clean
8,0.5705431946705344,0.0,2,6,Logistic_L2,WA_clean
9,0.6266580531462714,0.375,8,6,Logistic_L2,WA_clean
10,0.7066580922821895,0.6666666666666666,3,6,Logistic_L2,WA_clean
11,0.7614691091306257,0.5,4,6,Logistic_L2,WA_clean
12,0.8242249653467819,0.5,4,6,Logistic_L2,WA_clean
13,0.8980333586723307,1.0,1,6,Logistic_L2,WA_clean
14,0.9376854474547166,1.0,1,6,Logistic_L2,WA_clean
0,0.037985418840225584,1.0,1,6,Logistic_L2,WI_prevalence_shift
1,0.09304018022970656,0.4,5,6,Logistic_L2,WI_prevalence_shift
2,0.17243960243600523,0.0,1,6,Logistic_L2,WI_prevalence_shift
3,0.23610184931956696,0.0,4,6,Logistic_L2,WI_prevalence_shift
4,0.3019232126007454,0.75,4,6,Logistic_L2,WI_prevalence_shift
5,0.3937832665402863,1.0,1,6,Logistic_L2,WI_prevalence_shift
6,0.44387223246688856,0.25,4,6,Logistic_L2,WI_prevalence_shift
7,0.5010221455572631,0.3333333333333333,6,6,Logistic_L2,WI_prevalence_shift
8,0.5798581225995303,0.0,3,6,Logistic_L2,WI_prevalence_shift
9,0.6294939686193244,0.25,8,6,Logistic_L2,WI_prevalence_shift
10,0.6971536761306273,1.0,2,6,Logistic_L2,WI_prevalence_shift
11,0.7564399217413366,0.2857142857142857,7,6,Logistic_L2,WI_prevalence_shift
12,0.8154685262115008,0.0,3,6,Logistic_L2,WI_prevalence_shift
13,0.8980333586723307,1.0,1,6,Logistic_L2,WI_prevalence_shift
14,0.9376854474547166,1.0,1,6,Logistic_L2,WI_prevalence_shift
2,0.18250000000000002,0.3333333333333333,3,6,RandomForest,WA_clean
3,0.24916666666666668,0.2,5,6,RandomForest,WA_clean
4,0.29933333333333334,0.2,5,6,RandomForest,WA_clean
5,0.35954545454545456,0.2727272727272727,11,6,RandomForest,WA_clean
6,0.4385,1.0,5,6,RandomForest,WA_clean
7,0.4905555555555556,0.1111111111111111,9,6,RandomForest,WA_clean
8,0.5658333333333333,0.8,5,6,RandomForest,WA_clean
9,0.6304166666666666,1.0,4,6,RandomForest,WA_clean
10,0.6997916666666667,1.0,4,6,RandomForest,WA_clean
2,0.18562499999999998,0.25,4,6,RandomForest,WI_prevalence_shift
3,0.2583333333333333,0.5,2,6,RandomForest,WI_prevalence_shift
4,0.29750000000000004,0.3333333333333333,3,6,RandomForest,WI_prevalence_shift
5,0.3640151515151515,0.18181818181818182,11,6,RandomForest,WI_prevalence_shift
6,0.4385,1.0,5,6,RandomForest,WI_prevalence_shift
7,0.48379629629629634,0.05555555555555555,18,6,RandomForest,WI_prevalence_shift
8,0.5616666666666666,0.0,1,6,RandomForest,WI_prevalence_shift
9,0.6297222222222222,1.0,3,6,RandomForest,WI_prevalence_shift
10,0.6997916666666667,1.0,4,6,RandomForest,WI_prevalence_shift
0,0.04229838756678919,0.6,5,7,Logistic_L2,WA_clean
1,0.08005526857148365,0.0,1,7,Logistic_L2,WA_clean
2,0.15828109699709134,0.0,5,7,Logistic_L2,WA_clean
3,0.22623224500388145,0.8,5,7,Logistic_L2,WA_clean
4,0.2887672777356691,0.5,4,7,Logistic_L2,WA_clean
5,0.36677640407764106,0.5,6,7,Logistic_L2,WA_clean
6,0.4336530700769906,0.5,4,7,Logistic_L2,WA_clean
7,0.4832496471656873,0.0,2,7,Logistic_L2,WA_clean
8,0.5520610945731043,0.0,1,7,Logistic_L2,WA_clean
9,0.6347357365873603,1.0,2,7,Logistic_L2,WA_clean
10,0.7229672650002134,1.0,1,7,Logistic_L2,WA_clean
11,0.7787515932585943,0.4,5,7,Logistic_L2,WA_clean
12,0.8429867514080682,0.4,5,7,Logistic_L2,WA_clean
13,0.9014079952682413,0.6666666666666666,3,7,Logistic_L2,WA_clean
14,0.9665988882621757,0.5,2,7,Logistic_L2,WA_clean
0,0.04229838756678919,0.6,5,7,Logistic_L2,WI_prevalence_shift
1,0.08005526857148365,0.0,1,7,Logistic_L2,WI_prevalence_shift
2,0.15502359538148305,0.0,5,7,Logistic_L2,WI_prevalence_shift
3,0.22814041971702692,0.75,4,7,Logistic_L2,WI_prevalence_shift
4,0.2887672777356691,0.5,4,7,Logistic_L2,WI_prevalence_shift
5,0.3790619206770954,0.3333333333333333,6,7,Logistic_L2,WI_prevalence_shift
6,0.43365307007699067,0.5,4,7,Logistic_L2,WI_prevalence_shift
7,0.47816609011380157,0.0,3,7,Logistic_L2,WI_prevalence_shift
8,0.5520610945731043,0.0,2,7,Logistic_L2,WI_prevalence_shift
10,0.7229672650002134,1.0,1,7,Logistic_L2,WI_prevalence_shift
11,0.7752757797707989,0.3333333333333333,6,7,Logistic_L2,WI_prevalence_shift
12,0.8463165334274033,0.3333333333333333,3,7,Logistic_L2,WI_prevalence_shift
13,0.8984711272011353,0.3333333333333333,6,7,Logistic_L2,WI_prevalence_shift
14,0.9444173477788845,0.0,1,7,Logistic_L2,WI_prevalence_shift
2,0.18583333333333335,1.0,2,7,RandomForest,WA_clean
3,0.22666666666666666,0.4,5,7,RandomForest,WA_clean
