fold,model,R,Q_label,S_drop,S_ratio,C_exp,C_linear,E_cos,E_rank,E_jaccard,E_mix
10,RandomForest,0.8470209339774557,0.985732304766312,0.9590818739935587,0.9516917181547699,0.8316476410972581,0.9657604166666667,0.8425643026109335,0.9960262360431733,0.9423076923076923,0.9269660769872664
10,SVC_RBF,0.6376811594202899,1.0,0.9937238954307568,0.9901579269249323,0.6415735019131562,0.926617709046561,,,,
11,ExtraTrees,0.5162037037037037,1.0,0.9813236531986532,0.9638198124738646,0.853990929339429,0.9591809640522876,0.9043176029560781,0.9921893160644386,0.8968531468531469,0.9311200219578879
11,GaussianNB,0.4305555555555556,1.0,0.9974922839506173,0.9941756272392859,0.9591013479664088,0.9777099605835363,,,,
11,GradientBoosting,0.6589506172839505,1.0,0.9770447530864198,0.965163934425334,0.8981923770144894,0.9676115777367241,0.8459695325612004,0.9957718975639381,0.9197722567287785,0.920504562284639
11,Logistic_L2,0.5385802469135802,1.0,0.9486707351290685,0.9046952331324131,0.8057992987751977,0.9388281057917055,0.8619086241176084,0.9960884094957008,0.9415584415584415,0.9331851583905836
11,MLP,0.5447530864197531,1.0,0.9515116442199776,0.9109902137512695,0.845922774578499,0.9442731554469997,,,,
11,RandomForest,0.6574074074074074,1.0,0.9915737233445567,0.9871825650869438,0.782257152281124,0.9514481209150327,0.8670888497450026,0.9969524927676234,0.9195804195804196,0.9278739206976819
11,SVC_RBF,0.5555555555555556,1.0,0.9926697530864197,0.9868055555549043,0.8226318323463311,0.954116592234376,,,,
12,ExtraTrees,0.5308641975308642,0.7735656484639508,0.9971941638608305,0.994714587737618,0.8466992138046232,0.9783741830065359,0.8988156293916145,0.9928287079103643,0.8674242424242424,0.9196895265754069
12,GaussianNB,0.5316358024691359,0.8284597640470149,0.9987812149270483,0.9977074811975812,0.9025640023657616,0.9476578083239056,,,,
12,GradientBoosting,0.7021604938271605,0.8929002032437591,0.9452160493827161,0.921978021977599,0.8808061039861129,0.967098687665332,0.8316166845017701,0.9950403261155432,0.8663419913419914,0.8976663339864349
12,Logistic_L2,0.5401234567901235,1.0,0.9575617283950617,0.9214285714280226,0.8731852536342625,0.9564757860293985,0.9003269633047123,0.9924482351966464,0.9100319969885187,0.9342690651632924
12,MLP,0.5,0.9467084639479499,1.0,1.0,0.8492852892853283,0.9273053954316938,,,,
12,RandomForest,0.6890432098765432,0.8712276255222257,0.9864969135802469,0.9804031354978044,0.7566559239189146,0.9549203431372549,0.8527176007988513,0.9967792189258499,0.875,0.9081656065749004
